directory,log_path,dataset,raw_config,canonical_config,seed,avg_acc1,task_count,expected_task_count,complete,eligible_method,source_priority,debug_priority,sha256,size_bytes,selected,exclusion_reason
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antGlobal_nceGlobal_s1993,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antGlobal_nceGlobal_s1993/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antGlobal_nceGlobal,antB0.5_nceA1_antM0.5_antGlobal,s1993,78.25,10,10,True,True,1,1,0b0769e4c3b8c24e5e7d6e0d7b3a1cdd9e664686f8703707da971f766b26ea89,7108,True,
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antGlobal_nceLocal_s1993,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antGlobal_nceLocal_s1993/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antGlobal_nceLocal,antB0.5_nceA1_antM0.5_antGlobal,s1993,78.08,10,10,True,True,2,1,5cfadf5a0149c57d6010f3c8c2b8a8b2a002771cb225bcd4b7efc1d3225a067f,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceGlobal_s1993,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceGlobal_s1993/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antLocal_nceGlobal,antB0.5_nceA1_antM0.5_antLocal,s1993,78.05,10,10,True,True,1,1,a89043b86ba570bd74817788f1885d8b51d8394a9ed57c553b21b42fc0f8a316,7108,True,
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1993,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1993/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1993,78.57,10,10,True,True,2,1,8719c9f372367b803342fedb8a6e8da45f3bdf2dab2b8b1f26f0f2d6816bc3d3,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1994,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1994/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1994,79.35,10,10,True,True,2,1,7d5a9502520157d488f499b22283989e865f027ecdefe9f5622e1e7ac3162f8a,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1995,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1995/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1995,79.54,10,10,True,True,2,1,ccd45bc9de85138bdf24089c05456864d6c6203d8670229ad9222ea5e141327f,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1993,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1993/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1993,78.28,10,10,True,True,2,1,6e5470c09f2a7774f1d8d0e526d94f53fbdf7621353b039859ba91b50d2e9f32,7108,True,
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1994,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1994/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1994,79.22,10,10,True,True,2,1,b9074f4c166096ab79ac4bdc6a4214a9718acc455f58747b7000e37097cfdafa,7108,True,
debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1995,logs/debug_exp_cifar100_10-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1995/exp_gistlog.log,cifar100_10-10,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1995,79.62,10,10,True,True,2,1,19246c27a3d1fa7bf502cd79bbb6135b3f97bf5b73c8453776204e1f7486caae,7108,True,
debug_exp_cifar100_10-10_antB0_nceA1_antGlobal_nceGlobal_s1993,logs/debug_exp_cifar100_10-10_antB0_nceA1_antGlobal_nceGlobal_s1993/exp_gistlog.log,cifar100_10-10,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1993,77.87,10,10,True,True,1,1,4db1173576a8c6f74133f194eb6a5a98fb9b0444cb54aba18e66dccc85d3f953,7108,True,
debug_exp_cifar100_10-10_antB0_nceA1_antGlobal_nceGlobal_s1994,logs/debug_exp_cifar100_10-10_antB0_nceA1_antGlobal_nceGlobal_s1994/exp_gistlog.log,cifar100_10-10,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1994,79.14,10,10,True,True,1,1,d8d65575ef15065d6a28443e1e7240ec1b18b887ead1baf1fc60e708b5194ca8,10889,True,
debug_exp_cifar100_10-10_antB0_nceA1_antGlobal_nceGlobal_s1995,logs/debug_exp_cifar100_10-10_antB0_nceA1_antGlobal_nceGlobal_s1995/exp_gistlog.log,cifar100_10-10,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1995,79.27,10,10,True,True,1,1,c290f0fe4923baba032daad647f3b6c297816232460ac6d8055ab903f3e1d660,10891,True,
